Produktnummer;Lieferantenproduktnummer;Produktname;Lieferantennummer;Standardlieferant;EK (netto);Mindestabnahme;Abnahmeintervall
102763;00-026129625;Dichtring zwischen Luftfilter und Vergaser Passat 32b OE Ref. 026129625;70007;yes;10.88;1;1
SW11088;00-030906031A;Einspritzventil für Golf 2 &Co, 1.3L NZ, 3F, OE Ref. 030906031A;70007;yes;67.94;;1
103063;00-171807113B;Stoßstangenhalter Rechts oder Links Jetta, Golf & Co, Passat 32b, OE Ref. 171807113B;70007;yes;24.70;1;1
102131;321837226B;Hebel für Türbetätigung Innen Rechts Golf 2 &Co Passat 32B OE Ref. 321837226B;70007;yes;12.05;1;1
101624;00-027129281;Dichtungssatz für 2E3 Vergaser Golf 2 &Co,Polo und T3 OE Ref. 027129281;70007;yes;23.82;2;1
100337;71-171845521;Heckscheibendichtung Golf 1 ohne Nut für Keder OE Ref. 171845521;70007;no;20.58;;1
102837;00-311867169 J51;Abdeckkappe für Schraube in Lagune (Blau), Golf 1 & Co und T3, OE Ref. 311867169 J51;70007;yes;0.23;10;1
101663;00-251843441;Führungsbolzen für Schiebetür oben T3 bis Bj. 07/1984 OE Ref. 251843441;70007;yes;5.82;1;1
101318;40-321601171C;Radmittenkappe für Alufelge, Durchmesser 58mm, Golf & Co, OE Ref. 321601171C;70007;yes;4.70;;1
101151;40-255853689K;"Schriftzug """"Caravelle C"""" in Chrom T3 OE Ref. 255853689K";70007;yes;14.11;;1
103643;00-155809966;Clip, Spreizmutter für Radhausschale Golf 1 Cabrio, Rücklicht Caddy 14D OE Ref. 155809966;70007;yes;0.35;;1
SW10235;00-193837431B;Fensterführung, links, vorne oben, 4-Türer, Golf 2 bis 8/87, mit Nut, OE Ref. 193837431B;70007;yes;62.64;;1
100150;40-823721527-SP;Anschlag für Gaspedal Golf 1 & Co, Passat 1, mit Schaltgetriebe OE Ref. 823721527;70007;yes;6.55;20;1
102157;00-823711134;Anschlag Führung für Schalthebel Passat bis Bj. 1988 OE Ref. 823711134;70007;yes;2.82;2;1
102012;40-191867109-SP;Führung für Türknopf Golf &Co OE Ref. 191867109;70007;no;2.93;20;1
102130;00-165845322A;Dichtung für Seitenscheibe rechts mit Nut für Zierleiste Jetta 2 OE Ref. 165845322A;70007;yes;57.05;1;1
SW10758;00-070256106B;Wärmetauscher Rechts, passend für T3 1,6L MKB CZ/CT Bj. 06/80-12/82 OE Ref. 070256106B;70007;yes;112.35;;1
102494;40-251857543;Dichtung bzw. Unterlage für Spiegel, rechts bzw. links, T3, OE Ref. 251857543;70007;no;1.25;;1
103108;40-155837474C;Fensterschachtdichtung, außen, mit Nut für Zierleiste, Golf 1 Cabrio ab 08/89, OE Ref. 155837474C;70007;yes;31.93;;1
SW11208;00-193853515D 2BC;Zierleiste Tür, vorne links, Golf 2 &Co ab 10/89, OE Ref. 193853515D 2BC;70007;yes;38.23;2;1
102355;00-251407089A;Unterlegscheibe für Zylinderschraube vom Querlenker vorne Oben VW T3 OE Ref. 251407089A;70007;yes;2.23;10;1
101107;00-165853687S  GX2;"Schriftzug """"JETTA GTD"""" Chrom / Schwarz ab Bj. 07/1988 OE Ref. 165853687S GX2";70007;yes;11.47;1;1
SW10423;00-191407255B;Achsschenkel, Radlagergehäuse links Golf 2 &Co bis Bj. 87 OE Ref. 191407255B;70007;yes;80.88;;1
103621;00-171609426;Bremsträgerblech, hinten rechts, Golf 1, Scirocco & Passat, bis 07/78, OE Ref. 171609426;70007;yes;30.58;1;1
103514;00-321955215B;Wischerwelle mit Lager links, Passat 32B, OE Ref. 321955215B;70007;yes;20.58;1;1
101108;00-171881671 041-SP;Verstellrad Sitzlehne, Golf 1 &Co bis Bj. 07/1983, OE Ref. 171881671;70007;no;3.20;30;1
101532;40-251711973;Wählhebel an der Schaltstange hinten, T3 Benziner, OE Ref. 251711973;70007;no;19.70;2;1
102026;00-867845521;Heckscheibendichtung ohne Nut für Zierleisten Polo Steilheck ab Bj. 81  OE Ref. 867845521;70007;yes;60.29;1;1
101485;00-171711586A;Winkel zur Umlenkung der Schaltstange Golf 1 &Co OE Ref. 171711586A;70007;yes;32.35;2;1
103516;00-321955325;Antriebsstange für Wischerwelle links Passat 32B OE Ref. 321955325;70007;yes;5.87;1;1
SW11250;00-067133673A;Benzinleitung am Kraftstoff Druckregler, Scirocco MKB PL, OE Ref. 067133673A;70007;yes;17.35;;1
SW10560;00-155871259A;Klemmstück links, Verdeck Golf 1 Cabrio OE Ref. 155871259A;70007;yes;5.87;;1
SW10195;40-251711115A 01C;Schalthebelmanschette, Faltenbalg, T3, OE Ref. 251711115A 01C;70007;yes;23.82;2;1
101154;40-155853687B QK6;"Schriftzug """"CABRIOLET"""" in Weiss für Heckklappe,  Golf 1 Cabrio, OE Ref. 155853687B  QK6";70007;yes;11.17;2;1
102775;00-161823302A;Motorhaubenscharnier mit Fanghaken Golf &Co OE Ref. 161823302A;70007;yes;18.52;1;1
100989;00-052121054D-SP;Kühlwasserschlauch Thermostat nach  Kühlwasserrohr Golf 1 &Co OE Ref. 052121054D;70007;yes;7.88;;1
SW10386;40-823721173 01C;Pedalgummi für Kupplung oder Bremspedal Golf 1 & Co Polo 1, Passat OE Ref. 823721173 01C;70007;yes;3.47;;1
102029;00-867845118;Dichtung für Türscheibe feststehend rechts Polo ab. Bj. 81 OE Ref. 867845118;70007;yes;13.23;1;1
103338;00-191512135;Schutzkappe für Federbeindom hinten Golf 2 &Co OE Ref. 191512135;70007;yes;2.23;4;1
102089;00-191201136A;Entlüfterventil am Tankeinfüllstutzen Golf 2 &Co OE Ref. 191201136A;70007;yes;12.95;1;1
SW10942;00-025145546;Halter für Servopumpe T3 Benziner OE Ref. 025145546;70007;yes;32.64;2;1
102648;171809125A;Reparaturblech Kotflügelkante, links, Golf 1 &Co, OE Ref. 171809125A;70007;yes;14.99;20;1
102822;40-N 0111531;Sechskantmutter M9x1,0 für Ventilspiel-Einstellung, T3 Benziner, OE Ref. N0111531;70007;yes;0.74;1;1
101201;40-251201157A;Winkelstück für Entlüftungsschlauch des Kraftstoffbehälters, T3, OE Ref. 251201157A;70007;no;2.38;1;1
101647;00-035129737B;Doppel-T-Stück für Unterdruck Anlage Passat OE Ref. 035129737B;70007;yes;3.76;2;1
102236;00-861411337B;Schelle Stabilisator vorne Innen Polo OE Ref.861411337B;70007;yes;5.40;1;1
102375;40-171898523A 4AT;Dekorfolienset in Schwarz für Heckklappe, 5-teilig Golf 1 GTI OE Ref. 171898523A 4AT;70007;yes;46.63;15;1
SW10668;00-171805445;Presslochmutter Radhausschale 6,5 mm, Golf & Co  OE Ref. 171805445;70007;yes;0.56;;1
100318;40-867853687 GX2;"Schriftzug """" Polo"""" für Baujahr 81 bis 90 OE Ref.867853687";70007;yes;6.44;1;1
100991;40-171957861B;Dichtung für Tachowellenantrieb am Getriebe, 1,5L- 1,8L Hubraum, OE Ref. 171957861B;70007;yes;1.49;30;1
SW11157;00-251953515A 01C;Verkleidung für Lenksäule, Oberteil, schwarz,T3 OE Ref. 251953515A 01C;70007;yes;15.58;2;1
101084;41-113711141D NOT-SP;"Schaltknauf Golfball  ""Kamei"" OE Ref. 113711141D";70007;yes;14.62;20;1
102059;00-193839081;Zugstange für Türschloss innen Golf 2 &Co 4- Türer beidseitig. OE Ref. 193839081;70007;yes;1.11;1;1
102116;30-171837913G;Abdeckung Türkante Oben Innen Links Golf 1 &Co OE Ref. 171837913G;70007;yes;25.88;1;1
101203;40-251711973A-SP;Führung für Schaltfinger des Schaltgestänges am Getriebe T3 Diesel OE Ref. 251711973A;70007;no;17.12;30;1
103439;40-191853687D GX2;"Schriftzug für Heck ""Golf GTD"" in Chrom, Golf 2 &Co bis Bj. 07/87, OE Ref. 191853687D GX2";70007;yes;20.50;1;1
102970;40-091301131-SP;Dichtung zwischen Getriebe- und Kupplungsgehäuse T3 OE Ref. 091301131;70007;yes;4.17;3;1
102972;40-091301215;Dichtung für hinteren Deckel vom 4 Gang Getriebe T3 bis Bj.85 OE Ref. 091301215;70007;yes;3.52;1;1
SW10915;00-251711303;Handbremshebel passend für T3 OE Ref. 251711303;70007;yes;22.93;;1
SW10475;00-191853807;Blende Radlauf, hinten links, Golf 2 mit breiter Stoßstange, OE Ref. 191853807;70007;yes;12.94;2;1
102679;00-147201129C;Tankeinfüllstutzen für Caddy 14d, Bj. 83-92, OE Ref. 147201129C;70007;yes;114.11;1;1
102472;66-ZCP902907;Original VOLKSWAGEN CLASSIC Blechschild VW Bulli Parking Only 30x40cm ZCP902907;70007;yes;13.82;2;1
102451;40-035103247A;Ventilgehäuse Stutzen Kurbelwellengehäuse Entlüftung Golf 1 GTI OE Ref. 035103247A;70007;yes;22.05;1;1
102883;40-431201511A;Kraftstofffilter, Vorlauffilter, Golf 1 Diesel Bj. 07/83 OE Ref. 431201511A;70007;yes;18.23;2;1
SW11041;00-020141710A;Sicherungsklammer für Kupplungshebel, passend für Golf &Co ab 1,5L OE Ref. 020141710A;70007;yes;0.91;8;1
102283;00-171881299C 01C;Lager für Sitzverriegelung Golf 1 &Co, OE Ref.171881299C;70007;yes;0.99;;1
101451;40-867823397-SP;Clip bzw. Halter für Haubenaufsteller Golf 1 &Co OE Ref. 867823397;70007;yes;1.10;50;1
101471;00-117877433 581;Griffschale für Schiebedachkurbel, weiß, Golf 1 &Co und T3, OE Ref.  117877433;70007;yes;3.70;1;1
SW11127;00-191809833;Reparaturblech für Radlauf, hinten links, Golf 2, 2-Türer, BJ84-92, OE Ref. 191809833;70007;yes;54.99;;1
102974;40-165853674-SP;Clip für Kühlergrill Golf 2 &Co ab Bj. 08/87 OE Ref. 165853674;70007;yes;0.63;100;1
102162;00-861957801M;Tachowelle für Polo 1 bis Bj. 09/81 OE Ref. 861957801M;70007;yes;9.11;1;1
