Nummer;Name;Vorname;Nachname;E-Mail-Adresse;Telefonnummer;Faxnummer;Kommentar;Kundennummer;Standardlieferzeit;Straße;Hausnummer;PLZ;Stadt;Firma;Land
67;3ddruckservice24.de;;;;;;"Datei Auf Server Bestellwesen,
PDF mit Fülldichte ETC ebenfalls dort.

mail ist Buchhaltung@";;15;;;;;;
28;aircooledshop.com;;;info@aircooledshop.com;1713709595;;;;4;;;;;;
65;ak-parts.de;;;;;;;;5;;;;;;
70051;aliexpress;;;;;;"aliexpress

Bestellung per Webseite";;20;;;;;;
70040;Aresma Cabriolet Verdecke;Markus;Lange;info@aresma.de;04152 / 81 42 3;;Aresma Cabriolet Verdecke Ingenieurtechnik GmbH;;0;;;21502;Geesthacht;;DE
48;ArrA-Performance GbR;;;info@arra-performance.de;;;30,- netto für Kabelbäume, Bestellung per Mail | Mail-Bestellung an info@arra-performance.de;;0;;;;;;
70036;Audi Tradition;;;;;;Audi Tradition trshop.audi.de;;4;;;;;;
57;Autohaus Schmidt - Logistikzentrum Lehrte;Michael;Joswig;michael.joswig@logistikzentrum-lehrte.de;05175/30096-777;;Bestellung per Mail senden;;12;An der Ritzer Brücke;5;29410;Salzwedel;Autohaus Schmidt GmbH;DE
39;autolampensalon.com;;;;;;;;5;;;;;;
70004;AutoMega Teilemarkt;;;info@automega.biz;040 / 701030 - 0;;AutoMega Teilemarkt;;0;;;21465;Reinbek;;DE
63;automotive-connectors.com/;;;sdeyter@deytrade.de;;;;;0;Sennestraße;3;33813;Oerlinghausen;DeyTrade Connecting GmbH & Co. KG;DE
68;autopartner24.de;;;tbuls@autopartner24.de;;;"Bestellung per Shop
Im Anschluss unter ""meine Bestellungen"" die Rechnung runterladen

Bestellung per Mail bei Tobi Buls -> Rechnung per Mail";;5;;;;;;
33;autoteile-plauen.de/;;;;;;;;0;;;;;;
25;B-WARE;;;;;;;;0;;;;;;
22;baywa.de;;;;;;;;0;;;;;;
80;BBT;;;frederik@bbt4vw.com;+32 (0)3 302 40 56 (Direct);;"otw-einkauf@oldtimer-werk.de
oldtimerwerk4vw
https://www.bbt4vw.com/de/kundenportal/login
 
Wann Sie einloggen, sollen Sie ein R0, R1 & R2 Preise sehen.
Sie haben die R2 Preisen…";;0;Nijverheidsstraat;21;;;B.B.T. nv | Frederik Van Roey | 2960 Sint-Job-in-'t-Goor;BE
70029;Befestigungsfuchs.de;;;;;;Befestigungsfuchs.de;;5;;;;;;
70044;BGS technic;;;mail@bgs-shop.de;+49 (0) 2196-720480;;BGS Technic;;2;;;;;;
77;BRICKWERKS;Simon;;service@brickwerks.co.uk;;;https://brickwerks.co.uk/;;14;;;;;;
1;Bühler Hydraulik;;;;;;https://buehler.pneumatikatlas.com/;;2;;;;;;
23;bus-ok.de/ Haben nun auch Staffelpreise im web shop, bitte ggf. umstellen;;;info@bus-ok.de;;;Bilder dürfen verwendet werden | Bestellung über den web shop | rechnung kommt anschließen per mail;;5;;;;;;
70039;C. R. Laurence of Europe GmbH;;;DE@crl.eu;T +49 (0)7062 | 915;;C. R. Laurence of Europe GmbH;;0;;;;;;
15;cabriozentrum.com;Jörg;Dilge;info@cabriozentrum.de;‭0541 6004949‬;;;;60;;;;;;
49;Classic Wheel;Jørgen;Nielsen;jn@classic-wheel.com;+49 32 221098272;;per mail;;4;;;;;;
69;classicshop.pl;Andrzej;Roszman;info@classicfactory.pl;48515660889;;;;0;Gen. Władysław Sikorski;160c;84-200;Wejherowo;Pomeranian Voivodeship;PL
51;COHLINE;Silke;Eckhardt;s.eckhardt@cohline.de;+49 2771 399132;;"Frachtkosten
1 Paket bis 25kg 8,20€
1 Paket 25-30kg 13,30€
1 Paket 30-40kg 34,90€

Kauf auf Rechnung";13050;15;Kasseler Straße;24;35683;Dillenburg;Cohline GmbH -;DE
70059;cohpro.com;;;;;;cohpro.com;;15;;;;;;
62;contorion.de;;;;;;;;0;Friedrichstraße;224;10969;Berlin;Contorion GmbH;DE
