Produktnummer;Produktname;Lagerkürzel;Lagerplatz;Standardlagerplatz;Bestand
100101;Verkleidung 3 Punkt Gurt oben Golf  & Co., Polo, Passat und T3 OE Ref. 165857719;HL;2-N11-804-2;yes;21
100102;Set Sitz-Führungsstücke, 3-teilig, Golf & Co OE Ref. 191881213, 171881213B und 435881203A;HL;;no;0
100103;Komplett-Set Sitzführung 6-teilig Golf & Co OE Ref. 435881203A, 171881213B und 191881213;HL;;no;0
100105;Reparaturblech Scheibenrahmen unten links Golf 1 &Co;HL;3-F8-802;yes;4
100106;Reparaturblech Scheibenrahmen rechts unten Golf 1 &Co;HL;3-F8-801;yes;4
100107;Tankdeckel mit Belüftung, Golf 1 bis 08/83, OE Ref. 155201551;HL;M-03-0-2;yes;7
100108;Schalter Innenraum-Gebläse Golf & Co ,Polo, Passat, T3 OE Ref. 171959511;HL;2-N1-304-1;yes;8
100109;Türpin gummierte Oberfläche Golf 1 & Co, T3, Passat OE Ref. 171837187;HL;2-N11-703-1;yes;23
100110;Haltebänder mit Lagerwinkel für Hutablage Golf 1 OE Ref. 171867777;HL;;no;0
100111;Thermostat Gehäuse / Kühlwasserflansch inkl. Dichtung Golf &Co, T4, OE Ref. 055121121F;HL;2-F1-404;yes;9
100112;Clip für Türdichtung, 6 Stück Golf 1 &Co, OE Ref. 133823717;HL;2-N9-604-2;yes;26
100113;Clip für Türverkleidung Golf &Co, Polo, Passat, T3, T4, OE Ref. 171867299B, 823867299;HL;2-N9-602-1;yes;183
100114;Clip für Verdeckschiene Golf 1 Cabrio OE Ref. 155871425;HL;2-O5-302-2;yes;73
100116;Abdeckung Wischerkasten VW Golf 1 Caddy Jetta und Cabrio OE ref. 155819415A;HL;;no;0
100117;Clip, Spoiler bzw. Kühlergrill, Golf 1 & Co, T3, OE Ref. 171853695A;HL;2-N15-804-1;yes;169
100118;Warnblinkschalter VW Golf 1 ab 08/80 und T3 bis 07/83 OE Ref. 161953235B;HL;2-N7-801-1;yes;7
100119;Clip, Stoßstange hinten, Golf 1 & Co OE Ref. 171807269C;HL;M-02-4-4;yes;35
100120;Clip für Stoßstange vorne, Golf 1 & Co, OE Ref. 171807269B;HL;M-02-4-3;yes;62
100121;Clip für Zierleiste am Schweller, Golf 1 &Co, Passat,  OE Ref. 803853139C;HL;2-N15-801-2;yes;445
100122;Dichtungen Türgriff 4 Stück Golf & Co, Polo, Passat OE Ref. 867837209 und 171837211A;HL;2-L2-404-1;yes;12
100123;Griffschale, Türöffner innen, schwarz, Golf 1 &Co und T3, OE Ref. 311837247;HL;M-01-6-5;yes;476
100124;Blechmutter, Federmutter 6,3 mm u.a für Kotflügelverschraubung Golf & Co, Polo, Passat;HL;2-O1-703-2;yes;75
100125;Halter Kupplungszug mit Sicherungslasche, Golf & Co 1,5 bis 1,8L, OE Ref. 171721307;HL;M-05-1-4;yes;11
100126;Innenraumleuchte Hella Golf 1, Caddy, Scirocco 53, Jetta 1 OE Ref. 111947111E;HL;2-N7-603-1;yes;7
100127;Klammer Chromradkappe für 5,5J x 13 H2 ET 38 Felge, Golf 1 & Co, Passat OE Ref. 321601175C;HL;L-16-1-3-5;yes;16
100128;Handbremsseil für VW T3 Syncro Links 16 Zoll OE Ref. 251609701E;HL;2-J1-304;yes;1
100129;Motorhaubenschloß, Oberteil, Golf &Co, ab BJ 10/82, OE Ref. 191823507;HL;N-03-1-5-4;yes;13
100130;Motorhaubenschloss Unterteil Golf & Co ab Bj.10/83, T4, OE Ref. 191823509;HL;M-05-5-5;yes;9
100131;Abdeckkappe für Domlager, Golf 1 &Co, OE Ref. 171412359 01C;HL;M-03-1-1;yes;11
100132;Kennzeichenleuchte Hella inkl. Montagematerial  Golf 1 & Co, Scirocco 1, Passat OE Ref. 171943021B;HL;;no;0
100133;Schalter Nebelscheinwerfer Golf 1 &Co, Polo, Passat, OE Ref. 321941535B;HL;2-N1-305-1;yes;5
100134;Frontspoiler, schmale Ausführung, inkl. Befestigungsmaterial, Golf 1 &Co, OE Ref. 171805903;HL;;no;0
100135;Ölabweiser für Zylinderkopf Golf & Co, Passat, ab 1,5L, T3 Diesel, T4,  OE Ref. 026103547;HL;2-L5-103;yes;5
100136;Clip für Verkleidung Kofferraum Golf & Co, Polo, Passat, T3 OE Ref. 801867299;HL;2-N9-602-2;yes;113
100137;Clip für Nummernschild Verkleidung bzw. Blende, Golf 1 Cabrio OE Ref. 531807817;HL;2-N15-801-6;yes;96
100138;Dichtung Heckklappenschloß Golf 1 Cabrio, Jetta, Scirocco 53B, Polo, Santana OE Ref. 161827527;HL;2-L2-403-1;yes;35
100139;Kennschild für Tankeinfüllstutzen Golf 1 Cabrio, Scirocco 53B OE Ref. 155010024P;HL;2-K1-304-1;yes;9
100140;Pedalgummi für Kupplung und Bremspedal  Golf 1 & Co Polo 1, Passat OE Ref. 823721173;HL;2-N13-601-1;yes;18
100141;Querlenker Montagesatz, Golf 1 & Co, OE Ref. 171407182D, 171407181A, N0101904;HL;;no;0
100142;Tanklochlochblech, Reparaturblech Aufnahme des Tankeinfüllstutzens Golf 1 &Co OE Ref. 171809870A;HL;3-F8-803;yes;2
100143;Verdeckblende links und rechts, Schwarz, Golf 1 Cabrio, OE Ref. 155871413A und 155871414A;HL;;no;0
