ordernumber;propertyValueName
100300;Golf 2 Syncro (1986-1991)
100318;Polo 86C (1981-1994)
100321;Polo 1 (1975-1981)
100332;Polo 1 (1975-1981)
100333;Polo 86C (1981-1994)
100354;Passat 1 (1973-1980), Passat 32B (1980-1988)
100580;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
100750;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
100785;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
100853;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
100854;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
100855;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
100856;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
100857;T3 Syncro (1984-1992)
101000;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
101128;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
100315;Scirocco 1 (1974-1981), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Jetta 1(1979-1984)
101564;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
101602;Passat 1 (1973-1980), Caddy (14D), Scirocco 2 (1981-1992), Jetta 2 (1983-1992), Scirocco 1 (1974-1981), Passat 32B (1980-1988), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Golf 2 Syncro (1986-1991), Jetta 1(1979-1984), Golf 2 (1983-1992), Polo 1 (1975-1981)
101614;Caddy (14D), Scirocco 2 (1981-1992), Scirocco 1 (1974-1981), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Jetta 1(1979-1984)
101650;Passat 32B (1980-1988)
102025;Polo 86C (1981-1994), Polo 1 (1975-1981)
102044;Jetta 2 (1983-1992), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992)
102059;Jetta 2 (1983-1992), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992)
102060;Polo 1 (1975-1981)
102063;Jetta 2 (1983-1992), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992)
102067;Polo 86C (1981-1994)
102069;Polo 86C (1981-1994)
102078;Passat 1 (1973-1980)
102079;Passat 32B (1980-1988)
102080;Passat 32B (1980-1988)
102081;Passat 32B (1980-1988)
102082;Passat 32B (1980-1988)
102123;Passat 1 (1973-1980), Passat 32B (1980-1988)
102126;Jetta 2 (1983-1992)
102129;Jetta 2 (1983-1992)
102130;Jetta 2 (1983-1992)
102143;Passat 32B (1980-1988)
102152;Passat 32B (1980-1988)
102153;Passat 32B (1980-1988)
102156;Passat 1 (1973-1980), Passat 32B (1980-1988)
