Title;URL handle;Description;Vendor;Product category;Type;Tags;Published on online store;Status;SKU;Barcode;Option1 name;Option1 value;Option2 name;Option2 value;Option3 name;Option3 value;Price;Compare-at price;Cost per item;Charge tax;Tax code;Unit price total measure;Unit price total measure unit;Unit price base measure;Unit price base measure unit;Inventory tracker;Inventory quantity;Continue selling when out of stock;Weight value (grams);Weight unit for display;Requires shipping;Fulfillment service;Product image URL;Image position;Image alt text;Variant image URL;Gift card;SEO title;SEO description;Google Shopping / Google product category;Google Shopping / Gender;Google Shopping / Age group;Google Shopping / MPN;Google Shopping / AdWords Grouping;Google Shopping / AdWords labels;Google Shopping / Condition;Google Shopping / Custom product;Google Shopping / Custom label 0;Google Shopping / Custom label 1;Google Shopping / Custom label 2;Google Shopping / Custom label 3;Google Shopping / Custom label 4;HS Code
Bremsleitungssatz Golf 2 Syncro ohne ABS;bremsleitungssatz-golf-2-syncro-ohne-abs;Bremsleitungssatz für den Golf 2 Syncro ohne ABS. Die Leitungen werden gerade, bzw. ab einer Länge von 120cm mit einem 180 Gradbogen geliefert.;OldtimerWerk;;;;TRUE;active;100300;;;;;;;;75.95;81.49;33.0;TRUE;;;;;;shopify;-2;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/ee/9e/8f/100300_01_1qQCyhpp05Bh7o.jpg;1;;;FALSE;Bremsleitungssatz Golf 2 Syncro ohne ABS;Angeboten wird ein neuer Bremsleitungssatz für den Golf 2 Syncro ohne ABS Neuware in Top Zustand.;;;;100300;;;new;FALSE;;;;;;87089997
"Schriftzug """" Polo"""" für Baujahr 81 bis 90 OE Ref.867853687";schriftzug-polo-f-r-baujahr-81-bis-90-oe-ref-867853687;"Angeboten wird ein neuer Schriftzug "" Polo"" für Baujahr 81 bis 90. Neuware in Top Zustand.";Volkswagen Classic Parts;;;;TRUE;active;100318;;;;;;;;10.95;0.0;6.44;TRUE;;;;;;shopify;1;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/56/43/dc/100318_01_867853687_1xZleNli7kVh4t.jpg;1;;;FALSE;"Schriftzug """" Polo"""" für Baujahr 81 bis 90 OE Ref.867853687";"Angeboten wird ein neuer Schriftzug "" Polo"" für Baujahr 81 bis 90. Neuware in Top Zustand.";;;;40-867853687 GX2;;;new;FALSE;;;;;;87089997
Bremsleitungssatz Polo bis Bj. 81 ohne Bremskraftverstärker;bremsleitungssatz-polo-bis-bj-81-ohne-bremskraftverst-rker;Bremsleitungssatz für den Polo bis Baujahr. 81 ohne Bremskraftverstärker. Die Leitungen werden gerade, bzw. ab einer Länge von 120 cm mit einem Gradbogen geliefert.;OldtimerWerk;;;;TRUE;active;100321;;;;;;;;54.95;59.14;30.0;TRUE;;;;;;shopify;-1;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/fb/9c/68/100321_01S5Rei8kTxQstC.jpg;1;;;FALSE;Bremsleitungssatz Polo bis Bj. 81 ohne Bremskraftverstärker;Angeboten wird ein neuer Bremsleitungssatz für den Polo bis Baujahr. 81 ohne Bremskraftverstärker. Neuware in Top Zustand.;;;;100321;;;new;FALSE;;;;;;87089997
Bremsleitungssatz Polo bis Bj. 81 mit Bremskraftregler;bremsleitungssatz-polo-bis-bj-81-mit-bremskraftregler;Bremsleitungssatz für Polo bis Baujahr 81 mit Bremskraftregler. Die Leitungen werden gerade, bzw. ab einer Länge von 120 cm mit einem 180 Gradbogen geliefert.;OldtimerWerk;;;;TRUE;active;100332;;;;;;;;71.95;77.58;30.0;TRUE;;;;;;shopify;0;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/d3/7f/1a/100332_01srL0zCSaxPH0G.jpg;1;;;FALSE;Bremsleitungssatz Polo bis Bj. 81 mit Bremskraftregler;Angeboten wird ein neuer Bremsleitungssatz für Polo bis Baujahr 81 mit Bremskraftregler. Neuware in Top Zustand;;;;100332;;;new;FALSE;;;;;;87089997
Bremsleitungssatz Polo ab Bj. 81 mit Bremskraftverstärker;bremsleitungssatz-polo-ab-bj-81-mit-bremskraftverst-rker;Bremsleitungssatz für Polo ab Baujahr 81 ohne Bremskraftverstärker. Die Leitungen werden gerade, bzw. ab einer Länge von 120 cm mit einem Gradbogen geliefert.;OldtimerWerk;;;;TRUE;active;100333;;;;;;;;54.95;59.14;27.0;TRUE;;;;;;shopify;-1;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/03/e3/4e/100333_01bPjygXiGs0VN4.jpg;1;;;FALSE;Bremsleitungssatz Polo ab Bj. 81 mit Bremskraftverstärker;Angeboten wird ein neuer Bremsleitungssatz für Polo ab Baujahr 81 ohne Bremskraftverstärker. Neuware in Top Zustand;;;;100333;;;new;FALSE;;;;;;87089997
Ölwanne für Passat, TD, OE Ref. 068103601AC;lwanne-f-r-passat-td-oe-ref-068103601ac;>Original Ölwanne für Passat TD.;Volkswagen Original Teile;;;;TRUE;active;100354;;;;;;;;44.95;0.0;26.47;TRUE;;;;;;shopify;0;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/6b/4b/43/100354_01_068103601AC_1I98Lo8XtBrjYJ.jpg;1;;;FALSE;Ölwanne für Passat, TD, OE Ref. 068103601AC;Angeboten wird eine neue Ölwanne für Passat TD. Neuware in Top Zustand.;;;;00-068103601AC;;;new;FALSE;;;;;;87089997
Seilführung für Kupplungszug T3 Baujahr 06/79 - 07/81 OE Ref. 251721361B;seilf-hrung-f-r-kupplungszug-t3-baujahr-06-79-07-81-oe-ref-251721361b;Angeboten wird eine neue Seilführung für den Kupplungszug. Passend für T3 Baujahr 06/79 - 07/81. Neuware in Top Zustand.;vewib;;;;TRUE;active;100580;;;;;;;;19.95;0.0;12.35;TRUE;;;;;;shopify;3;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/c8/f4/4e/100580_01_251721361Bt2RLcSJs7nNXy.jpg;1;;;FALSE;Seilführung für Kupplungszug T3 Baujahr 06/79 - 07/81 OE Ref. 25172...;Angeboten wird eine neue Seilführung für den Kupplungszug. Passend für T3 Baujahr 06/79 - 07/81. Neuware in Top Zustand.;;;;251721361B;;;new;FALSE;;;;;;87089997
Bremsleitungssatz T3 Bj. 05/79-07/82 mit Bremskraftverstärker;bremsleitungssatz-t3-bj-05-79-07-82-mit-bremskraftverst-rker;Bremsleitungssatz. Passend für T3 ab 05/79 bis 07/82 mit Bremskraftverstärker und ohne ABS. Die Leitungen werden gerade, bzw. ab einer Länge von 120 cm mit einem Gradbogen geliefert.;OldtimerWerk;;;;TRUE;active;100750;;;;;;;;81.95;87.35;33.0;TRUE;;;;;;shopify;-1;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/3c/b4/c7/100750_01_251698005A_1akWUiQC4Qq234.jpg;1;;;FALSE;Bremsleitungssatz T3 Bj. 05/79-07/82 mit Bremskraftverstärker;Angeboten wird ein neuer Bremsleitungssatz. Passend für T3 ab 05/79 bis 07/82 mit Bremskraftverstärker und ohne ABS. Neuware in Top Zustand.;;;;100750;;;new;FALSE;;;;;;87089997
Kühlwasserschlauch zwischen Thermostat und Wasserrohr T3 1,9L ab Bj. 08/86 OE Ref. 025121058K;k-hlwasserschlauch-zwischen-thermostat-und-wasserrohr-t3-1-9l-ab-bj-08-86-oe-ref-025121058k;Angeboten wird ein neuer Kühlwasserschlauch. Montage zwischen Thermostat und Wasserrohr. Passend für T3 mit 1,9L Hubraum ab Bj. 08/86. Neuware in Top Zustand.;vewib;;;;TRUE;active;100785;5710412400125;;;;;;;12.95;0.0;4.31;TRUE;;;;;;shopify;1;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/32/a0/01/100785_01_025121058K_1MTsOwPmUt7jhJ.jpg;1;;;FALSE;Kühlwasserschlauch zwischen Thermostat und Wasserrohr T3 1,9L ab Bj...;Angeboten wird ein neuer Kühlwasserschlauch. Montage zwischen Thermostat und Wasserrohr. Passend für T3 mit 1,9L Hubraum ab Bj. 08/86. Neuware in Top Zustand.;;;;025121058K;;;new;FALSE;;;;;;87089997
Bremsleitungssatz T3 Baujahr 05/79 bis 07/82 ohne Bremskraftverstärker;bremsleitungssatz-t3-baujahr-05-79-bis-07-82-ohne-bremskraftverst-rker;Angeboten wird ein neuer Bremsleitungssatz. Passend für T3 Baujahr 05/79 bis 07/82 ohne Bremskraftverstärker. Neuware in Top Zustand.;OldtimerWerk;;;;TRUE;active;100853;;;;;;;;76.09;0.0;33.0;TRUE;;;;;;shopify;2;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/4b/a9/75/100853_01_251698005g8pIohqa8uABC.jpg;1;;;FALSE;Bremsleitungssatz T3 Baujahr 05/79 bis 07/82 ohne Bremskraftverstärker;Angeboten wird ein neuer Bremsleitungssatz. Passend für T3 Baujahr 05/79 bis 07/82 ohne Bremskraftverstärker. Neuware in Top Zustand.;;;;100853;;;new;FALSE;;;;;;87089997
