SKU;Variant HS Code
100300;87089997
100318;87089997
100321;87089997
100332;87089997
100333;87089997
100354;87089997
100580;87089997
100750;87089997
100785;87089997
100853;87089997
100854;87089997
100855;87089997
100856;87089997
100857;87089997
101000;85443000
101128;87089235
100315;87089997
101564;87089997
101602;87089997
101614;87089997
101650;87089997
102025;87089997
102044;87089997
102059;87089997
102060;87089997
102063;87089997
102067;87089997
102069;87089997
102078;87089997
102079;87089997
102080;87089997
102081;87089997
102082;87089997
102123;87089997
102126;87089997
102129;87089997
102130;87089997
102143;87089997
102152;87089997
102153;87089997
102156;87089997
101812;87089997
101271;87089997
102440;87089997
102443;87082990
102697;87089997
102705;87089997
102706;87089997
102728;87089997
102729;87089997
102752;87089997
102756;87089997
102800;87089997
102832;87089997
100403;84099100
102841;87089997
102869;87089997
102890;73043982
103130;87089997
103126;87089997
103266;87089997
103378;40069000
100796;87089997
101259;87089997
102799;87089997
102815;87089997
103514;87089997
103516;87089997
103544;73043982
103517;87089997
103518;87089997
103560;87089997
103565;87089997
103576;87082990
103584;87089997
103586;87089997
103720;87089997
103702;87089997
103739;87089997
103745;87089997
103753;87089997
103754;87089997
101406;87089997
101416;87089997
101437;87089997
102876;87089997
102957;87089997
103313;87089997
103109;87089997
103609;87089997
103757;87089997
103758;87089997
101197;87089997
101746;87089997
102107;87089997
102108;87089997
102119;87089997
102266;87089997
102288;87089997
102730;87089997
102750;87089997
103577;87089997
SW10199;87082990
SW10235;87089997
SW10259;87089997
SW10321;87089997
SW10326;85369095
SW10329;87089997
SW10343;87089997
SW10366;87082990
SW10367;87082990
SW10372;87082990
SW10395;87089997
SW10396;87081090
SW10443;87089997
SW10494;87089997
SW10538;83023000
SW10562;40093100
SW10565;87089997
SW10571;87089997
SW10578;87089997
SW10592;87089997
SW10626;87089997
102464;87089997
102826;87089997
102827;87089997
101825;87089997
103026;87089997
SW10327;87089997
103036;87089997
SW10354;87089997
SW10380;87089997
SW10390;87089997
SW10581;87089997
SW10582;87089997
SW10583;87089997
SW10587;87089997
SW10603;87089997
SW10638;87089997
SW10660;85119000
SW10674;87089997
SW10675;87089997
SW10676;87089997
SW10678;87089997
SW10680;87089997
SW10681;87089997
SW10696;87089235
SW10697;87089235
SW10700;87089235
SW10701;87089235
SW10702;87089235
SW10703;87089235
SW10704;87089235
SW10705;87089235
SW10706;87089235
SW10707;87089235
SW10708;87089235
SW10709;87089235
SW10712;87089235
SW10714;87089235
SW10720;87089235
SW10745;87089997
SW10747;87089235
SW10748;87089235
SW10749;87089299
SW10750;87089997
SW10751;87089299
SW10752;87089235
SW10753;87089235
SW10755;87089997
SW10756;87089235
SW10757;87089235
SW10758;87089997
SW10759;87089235
SW10760;87089997
SW10761;87089997
SW10766;87089997
SW10774;87084099
SW10776;87084099
SW10779;87084099
SW10781;87089997
SW10786;87082990
SW10791;87082990
SW10823;85124000
SW10824;85012000
SW10832;84145925
SW10833;87089997
SW10834;87089997
SW10845;87089997
SW10851;87089997
SW10852;87089997
SW10853;87089997
SW10854;87089997
SW10855;87089997
SW10857;87089997
SW10858;87089997
SW10861;87089997
SW10862;87089235
SW10635;87089997
SW10875;87089997
SW10877;87089997
SW10878;85113000
SW10882;85443000
SW10883;87089997
SW10884;87089997
SW10887;87089997
SW10892;87089997
SW10898;87089997
SW10911;87089997
SW10915;87089997
SW10916;87089997
SW10917;87089997
SW10919;87089997
SW10926;87089997
SW10940;87089997
SW10944;87089499
SW10955;87089997
SW10961;87089997
SW10962;87089997
SW10966;87089997
SW10969;87089997
SW10972;87089997
SW10991;87089997
SW10994;87089997
SW11039;87089997
SW11043;87089997
SW11046;87089997
SW11056;87089997
SW11073;87089997
SW11074;87089997
SW11075;87089997
SW11078;87082990
SW11079;87082990
SW11080;87082990
SW11081;87082990
SW11085;87089997
SW11089;87089235
SW11091;87089235
SW11092;87089235
SW11093;87089997
SW11097;87089997
SW11098;87089997
SW11099;87089997
SW11102;87089997
SW11103;87089997
SW11104;87089997
SW11105;87089997
SW10965;87089997
SW11109;87089997
SW11123;87089997
SW11127;87089997
SW11128;87089997
SW11129;87089235
SW11132;87089235
SW11133;87089235
SW11134;87089235
SW11135;87089235
SW11136;87089997
SW11137;87089235
SW11138;87089235
SW11139;87089235
SW11142;87089997
SW11143;87089235
SW11145;87089235
SW11146;87089235
SW11147;87089235
SW11148;87089235
SW11150;87089997
SW11158;87089997
SW11161;87089997
SW11162;87089997
SW11169;87089997
SW11173;87089997
SW11174;87089997
SW11175;87089997
SW11178;87089997
SW11181;40069000
SW11203;87089997
SW11204;87089997
SW11210;87089997
SW11211;87089997
SW11212;87089997
SW11213;87089997
SW11214;87089997
SW11216;87089997
SW11217;87089997
SW11219;87089997
SW11220;87089997
SW11224;87089997
SW11233;87089499
SW11242;87089997
SW11248;87089997
SW11252;87089997
SW11254;87089997
SW11255;87089997
SW11256;87089997
SW11258;87089997
SW11259;87089997
SW11262;87089997
SW11264;87089997
SW11265;87089997
SW11266;87089997
SW11267;87089997
SW11268;87089997
SW11269;87089997
AT_SW10781;87089997
AT_101952;87089997
AT_103513;87089997
AT_SW10531;87089997
AT_SW10532;87089997
AT_SW10571;87089997
AT_SW10572;87089997
AT_100347;87089997
AT_100346;87089997
AT_100945;87089997
AT_103594;87089997
AT_103595;87089997
AT_102914;87089997
AT_102915;87089997
AT_SW10639;87089997
AT_SW10640;87089997
AT_SW10547;87089997
AT_102349;87089997
AT_SW10964;87089997
SW11300;87089997
SW11318;87089997
SW11320;85122000
SW11334;87089997
SW11335;87089997
SW11348;87089997
SW11350;87089997
SW11351;87089997
SW11352;87089997
SW11353;87089997
SW11354;87089997
SW11355;87089997
SW11356;87089997
SW11357;87089997
SW11358;87089997
SW11360;87089997
SW11361;87089997
SW11362;87089997
SW11365;84099100
SW11366;84099100
SW11369;87089997
SW11370;87089997
SW11371;87089997
SW11373;87089997
SW11374;87089997
SW11316;87089997
SW11317;87089997
SW11375;83012000
SW11376;83012000
SW11377;83012000
SW11378;84099100
SW11381;87089997
SW11391;87089997
SW11415;87089997
SW11419;87089997
SW11421;87089997
SW11423;87089997
SW11424;87089997
SW11426;84835080
SW11427;87089997
SW11428;87089997
SW11432;87089997
SW11433;87082990
SW11434;87082990
SW11437;87082990
SW11439;87089997
SW11440;85122000
SW11441;85122000
SW11445;48211010
SW11447;87089997
SW11448;87089997
SW11449;87089997
SW11450;84099100
SW11455;87089997
SW11456;87089997
SW11466;87089997
SW11467;87089997
SW11472;87089997
SW11474;87089997
SW11476;87089997
SW11477;87089997
SW11479;87089997
SW11483;87089997
SW11484;87089997
SW11491;87089997
SW11496;87089997
AT_SW10546;87089997
SW11507;87089997
SW11508;87089997
SW11511;87089997
SW11512;87089997
SW11513;87089997
SW11514;87089997
SW11515;87089997
SW11516;87089997
SW11517;87089997
SW11519;87089997
SW11506;87089997
SW11521;87089997
SW11522;87089997
SW11523;87089997
SW11524;87089997
SW11525;87089997
SW11526;87089997
SW11527;87089997
SW11528;87089997
SW11529;87089997
SW11530;87089997
SW11531;87089997
SW11532;87089997
SW11534;87089997
SW11537;87089997
SW11538;87089997
SW11540;87089997
SW11541;87089997
SW11543;87089997
SW11544;87089997
SW11545;87089997
SW11546;87089997
SW11557;87089997
SW11564;87089997
SW11565;87089997
SW11572;87089997
SW11573;87089997
SW11574;87089997
SW11577;87089997
SW11588;87089997
SW11590;87089997
SW11591;87089997
SW11592;87089997
SW11593;87089997
SW11595;87089997
SW11596;87089997
SW11597;87089997
SW11598;87089997
SW11599;87089997
SW11601;87089997
SW11602;87089997
SW11605;87089997
SW11542;87089997
SW11547;87089997
SW11580;87089997
SW11581;87089997
SW11585;87089997
SW11606;87089997
SW11607;87089997
SW11608;87089997
SW11609;87089997
SW11610;87089997
SW11611;87089997
SW11613;87089997
SW11614;87089997
SW11615;87089997
SW11616;87089997
SW11619;87089997
SW11620;87089997
SW11621;87089997
SW11622;87089997
SW11623;87089997
SW11625;87089997
SW11632;87089997
SW11638;87089997
SW11639;87089997
SW11640;87089997
SW11643;87089997
SW11645;87089997
SW11646;87089997
SW11648;87089997
SW11649;87089997
SW11650;87089997
SW11651;87089997
SW11652;87089997
SW11653;87089997
SW11654;87089997
SW11655;87089997
SW11656;87089997
SW11657;87089997
SW11659;87089997
SW11660;87089997
SW11661;87089997
SW11662;87089997
SW11663;87089997
SW11664;87089997
SW11669;87089997
SW11671;87089997
SW11689;87089997
SW11696;87089997
SW11698;87089997
SW11704;87089997
SW11705;87089997
SW11706;87089997
SW11710;87089997
SW11711;87089997
SW11712;87089997
SW11715;87089997
SW11718;87089997
SW11728;87089997
SW11730;87089997
SW11731;87085035
SW11738;87089997
SW11739;87089997
SW11747;87089997
SW11749;87089997
SW11750;87089997
SW11757;87089997
SW11758;87089997
SW11761;87089997
SW11762;87089997
SW11763;87089997
SW11764;87089997
SW11766;87089997
SW11768;87089997
SW11769;87089997
SW11770;87089997
SW11771;87089997
SW11772;87089997
SW11773;87089997
SW11775;87089997
SW11776;87089997
SW11777;87089997
SW11778;87089997
SW11779;87089997
SW11780;87089997
SW11782;87089997
SW11783;87089997
SW11784;87089997
SW11787;87089997
SW11788;87089997
SW11790;87089997
SW11792;87089997
SW11793;87089997
SW11794;87089997
SW11795;87089997
SW11796;87089997
SW11797;87089997
SW11798;87089997
SW11799;87089997
SW11801;87089997
SW11802;87089997
SW11803;87089997
SW11804;87089997
SW11805;87089997
SW11806;87089997
SW11814;87089499
SW11817;87089997
SW11832;87089997
SW11833;87089997
SW11834;87089997
SW11838;87089997
SW11839;87089997
SW11840;87089997
SW11841;87089997
SW11842;87089997
SW11843;87089997
SW11844;87089997
SW11845;87089997
SW11846;87089997
SW11847;87089997
SW11848;87089997
SW11849;87089997
SW11850;87089997
SW11851;87089997
SW11853;87089997
SW11854;87089997
SW11856;87089997
SW11857;87089997
SW11863;87089997
SW11864;87089997
SW11866;87089997
SW11867;87089997
SW11869;87089997
SW11870;87089997
SW11871;87089997
SW11872;87089997
SW11873;87089997
SW11874;87089997
SW11875;87089997
SW11877;87089997
SW11878;87089997
SW11879;87089997
SW11880;87089997
SW11881;87089997
SW11882;87089997
SW11884;87089997
SW11885;87089997
SW11886;87089997
SW11887;87089997
SW11888;87089997
SW11889;87089997
SW11890;87089997
SW11891;87089997
SW11892;87089997
SW11893;87089997
SW11894;87089997
SW11895;40131000
SW11900;87089997
SW11901;87089997
SW11902;87089997
SW11903;87089997
SW11904;87089997
SW11906;87089997
SW11907;87089997
SW11909;87089997
SW11914;87089997
SW11918;87089997
SW11943;87089997
SW11945;87089997
SW11951;87089997
SW11964;87089997
SW11967;87089997
SW11968;87089997
SW11973;87089997
SW11979;87089997
SW11982;87089997
SW11983;87089997
SW11985;87089997
SW11986;87089997
SW11987;87089997
SW11988;87089997
SW11990;87089997
SW11991;87089997
SW11992;87089997
SW11993;87089997
SW11994;87089997
SW11995;87089997
SW11996;87089997
SW11999;87089997
SW12000;87089997
SW12001;87089997
SW12002;87089997
SW12005;87089997
SW12006;87089997
SW12007;87089997
SW12008;87089997
SW12009;87089997
SW12013;87089997
SW12014;87089997
SW12015;87089997
SW12018;87089997
SW12019;87089997
SW12033;87089997
SW12035;87089997
SW12036;87089997
SW12037;87089997
SW12039;87089997
SW12042;87089997
SW12043;87089997
SW12044;87089997
SW12045;87089997
SW12046;87089997
SW12047;87089997
SW12048;87089997
SW12049;87089997
SW12053;87089997
SW12054;87089997
SW12055;87089997
SW12056;87089997
SW12057;87089997
SW12058;87089997
SW12059;87089997
SW12060;87089997
SW12061;87089997
SW12062;87089997
SW12068;87089997
SW12069;87089997
SW12070;87089997
SW12072;87089997
SW12073;87089997
SW12074;87089997
SW12076;87089997
SW12077;87089997
SW12080;87089997
SW12081;87089997
SW12085;87089997
SW12086;87089997
SW12087;87089997
SW12088;87089997
SW12089;87089997
SW12091;87089997
SW12092;87089997
SW12093;87089997
SW12094;87089997
SW12095;87089997
SW12096;87089997
SW12097;87089997
SW12104;40093100
SW12106;87089997
SW12107;87089997
SW12111;87089997
SW12114;40093100
SW12116;40093200
SW12117;40093100
SW12118;40093100
SW12119;40093100
SW12121;40093100
SW12123;40093100
SW12124;87089997
SW12126;40093100
SW12128;87089997
SW12129;87089997
SW12130;87089997
SW12131;87089997
SW12134;39172900
SW12136;87089997
SW12138;87089997
SW12140;87089997
SW12141;87089997
SW12142;87089997
SW12143;87089997
SW12145;87089997
SW12154;85124000
SW12155;85124000
SW12157;87089997
SW12158;87089997
SW12160;87089997
SW12161;87089997
SW12162;87089997
SW12163;87089997
SW12164;87089997
SW12165;87089997
SW12166;87089997
SW12167;87089997
SW12168;87089997
SW12169;87089997
SW12170;87089997
SW12171;87089997
SW12172;87089997
SW12173;87089997
SW12176;73043982
SW12177;87089997
SW12178;83023000
SW12179;87089997
SW12180;87089997
SW12181;85443000
SW12182;87089997
SW12184;87089997
SW12186;87089997
SW12188;87089997
SW12190;87089997
SW12193;84841000
SW12194;87089997
SW12195;87089997
SW12199;87082990
SW12200;87082990
SW12204;83023000
SW12205;83023000
SW12212;87089997
SW12213;87089997
SW12214;87089997
SW12216;87089997
SW12218;87089997
SW12219;87089997
SW12220;87089997
SW12221;87089997
SW12237;87089997
SW12240;87089997
SW12241;87082990
SW12242;87089997
SW12250;87089997
SW12251;87089997
SW12252;87089997
SW12253;87089997
SW12254;87089997
SW12255;87089997
SW12256;87089997
SW12257;87089997
SW12259;87089997
SW12260;87089997
SW12261;87089997
SW12262;87089997
SW12263;87089997
SW12264;87089997
SW12272;87089997
SW12274;87089997
SW12275;87089997
SW12282;87082990
SW12286;87089997
SW12287;87089997
SW12288;87089997
SW12289;87089997
SW12290;87089997
SW12291;87089997
SW12292;87089997
SW12301;87089997
SW12306;87089997
SW12308;87089997
SW12314;87089997
SW12329;87089997
SW12330;87089997
SW12344;87089997
SW12346;87089997
SW12351;87089997
SW12353;87089997
SW12354;87089997
SW12355;87089997
SW12356;87089997
SW12357;87089997
